Count, PWM, RPM
318, 154, 606.67
319, 154, 606.67
320, 155, 613.33
321, 155, 606.67
322, 155, 613.33
323, 156, 613.33
324, 156, 600.00
325, 156, 613.33
326, 156, 606.67
327, 157, 620.00
328, 157, 606.67
329, 157, 613.33
330, 158, 620.00
331, 158, 613.33
332, 158, 613.33
333, 159, 620.00
334, 159, 606.67
335, 160, 613.33
336, 160, 613.33
337, 160, 620.00
338, 160, 620.00
339, 161, 626.67
340, 161, 633.33
341, 162, 620.00
342, 162, 613.33
343, 162, 633.33
344, 162, 626.67
345, 163, 620.00
346, 163, 633.33
347, 163, 633.33
348, 164, 633.33
349, 164, 646.67
350, 165, 620.00
351, 165, 626.67
352, 165, 646.67
353, 165, 640.00
354, 166, 640.00
355, 166, 626.67
356, 166, 626.67
357, 167, 626.67
358, 167, 620.00
359, 168, 640.00
360, 168, 626.67
361, 168, 646.67
362, 168, 633.33
363, 169, 640.00
364, 169, 646.67
365, 170, 633.33
366, 170, 646.67
367, 170, 633.33
368, 171, 640.00
369, 171, 633.33
370, 171, 633.33
371, 171, 633.33
372, 172, 640.00
373, 172, 633.33
374, 173, 640.00
375, 173, 653.33
376, 173, 653.33
377, 174, 633.33
378, 174, 646.67
379, 174, 646.67
380, 175, 646.67
381, 175, 653.33
382, 175, 653.33
383, 175, 640.00
384, 176, 640.00
385, 176, 660.00
386, 176, 646.67
387, 177, 660.00
388, 177, 653.33
389, 178, 653.33
390, 178, 640.00
391, 178, 653.33
392, 179, 640.00
393, 179, 640.00
394, 179, 666.67
395, 179, 653.33
396, 180, 653.33
397, 180, 646.67
398, 181, 660.00
399, 181, 646.67
400, 181, 660.00
401, 182, 653.33
402, 182, 666.67
403, 182, 653.33
404, 182, 640.00
405, 183, 653.33
406, 183, 653.33
407, 183, 653.33
408, 184, 653.33
409, 184, 666.67
410, 184, 660.00
411, 185, 653.33
412, 185, 660.00
413, 186, 660.00
414, 186, 653.33
415, 186, 660.00
416, 186, 660.00
417, 187, 660.00
418, 187, 660.00
419, 188, 673.33
420, 188, 666.67
421, 188, 653.33
422, 188, 673.33
423, 189, 673.33
424, 189, 673.33
425, 190, 680.00
426, 190, 680.00
427, 190, 680.00
428, 190, 673.33
429, 191, 680.00
430, 191, 693.33
431, 191, 686.67
432, 192, 680.00
433, 192, 673.33
434, 193, 686.67
435, 193, 666.67
436, 193, 653.33
437, 193, 673.33
438, 194, 653.33
439, 194, 666.67
440, 195, 673.33
441, 195, 666.67
442, 195, 673.33
443, 196, 673.33
444, 196, 666.67
445, 196, 660.00
446, 197, 660.00
447, 197, 653.33
448, 197, 653.33
449, 197, 660.00
450, 198, 660.00
451, 198, 660.00
452, 198, 666.67
453, 199, 653.33
454, 199, 666.67
455, 199, 666.67
456, 200, 666.67
457, 200, 673.33
458, 200, 673.33
459, 201, 680.00
460, 201, 666.67
461, 202, 680.00
462, 202, 666.67
463, 202, 680.00
464, 202, 693.33
465, 203, 680.00
466, 203, 666.67
467, 203, 680.00
468, 204, 673.33
469, 204, 673.33
470, 205, 673.33
471, 205, 673.33
472, 205, 686.67
473, 205, 673.33
474, 206, 693.33
475, 206, 660.00
476, 207, 680.00
477, 207, 673.33
478, 207, 686.67
479, 208, 693.33
480, 208, 673.33
481, 208, 700.00
482, 208, 680.00
483, 209, 680.00
484, 209, 686.67
485, 210, 686.67
486, 210, 693.33
487, 210, 693.33
488, 211, 686.67
489, 211, 700.00
490, 211, 686.67
491, 211, 686.67
492, 212, 693.33
493, 212, 686.67
494, 213, 700.00
495, 213, 673.33
496, 213, 680.00
497, 213, 680.00
498, 214, 700.00
499, 214, 706.67
500, 214, 693.33
501, 215, 700.00
502, 215, 700.00
503, 216, 693.33
504, 216, 700.00
505, 216, 700.00
506, 216, 700.00
507, 217, 700.00
508, 217, 700.00
509, 218, 700.00
510, 218, 706.67
511, 218, 713.33
512, 218, 706.67
513, 219, 700.00
514, 219, 713.33
515, 219, 720.00
516, 220, 700.00
517, 220, 700.00
518, 220, 693.33
519, 221, 713.33
520, 221, 700.00
521, 222, 700.00
522, 222, 700.00
523, 222, 706.67
524, 222, 706.67
525, 223, 693.33
526, 223, 706.67
527, 224, 700.00
528, 224, 700.00
529, 224, 700.00
530, 224, 720.00
531, 225, 706.67
532, 225, 713.33
533, 226, 706.67
534, 226, 720.00
535, 226, 713.33
536, 227, 713.33
537, 227, 713.33
538, 227, 713.33
539, 227, 713.33
540, 228, 726.67
541, 228, 706.67
542, 228, 720.00
543, 229, 706.67
544, 229, 720.00
545, 229, 720.00
546, 230, 713.33
547, 230, 713.33
548, 230, 713.33
549, 231, 726.67
550, 231, 713.33
551, 231, 720.00
552, 232, 720.00
553, 232, 726.67
554, 233, 720.00
555, 233, 713.33
556, 233, 726.67
557, 234, 706.67
558, 234, 713.33
559, 234, 713.33
560, 234, 713.33
561, 235, 726.67
562, 235, 733.33
563, 236, 713.33
564, 236, 713.33
565, 236, 720.00
566, 236, 740.00
567, 237, 720.00
568, 237, 733.33
569, 237, 720.00
570, 238, 726.67
571, 238, 733.33
572, 238, 733.33
573, 239, 733.33
574, 239, 733.33
575, 239, 733.33
576, 240, 726.67
577, 240, 733.33
578, 240, 720.00
579, 241, 733.33
580, 241, 726.67
581, 242, 733.33
582, 242, 726.67
583, 242, 740.00
584, 242, 726.67
585, 243, 733.33
586, 243, 733.33
587, 243, 733.33
588, 244, 740.00
589, 244, 726.67
590, 244, 753.33
591, 245, 746.67
592, 245, 733.33
593, 245, 733.33
594, 246, 733.33
595, 246, 733.33
596, 246, 740.00
597, 247, 733.33
598, 247, 733.33
599, 248, 740.00
600, 248, 740.00
601, 248, 746.67
602, 249, 726.67
603, 249, 740.00
604, 249, 740.00
605, 249, 740.00
606, 250, 726.67
607, 250, 740.00
608, 250, 746.67
609, 251, 740.00
610, 251, 753.33
611, 251, 746.67
612, 252, 740.00
613, 252, 740.00
614, 252, 740.00
615, 253, 740.00
616, 253, 740.00
617, 254, 733.33
618, 254, 740.00
619, 254, 740.00
620, 254, 753.33
621, 255, 753.33
622, 255, 753.33
623, 255, 753.33
